field_type,total_count,with_consensus,consensus_rate,avg_agreement
boolean,119,116,0.9747899159663865,0.9873949579831933
numeric,185,182,0.9837837837837838,0.9837837837837838
enum,272,232,0.8529411764705882,0.8541666666666666
string,237,196,0.8270042194092827,0.817937042956072
inference,873,649,0.7434135166093929,0.8125238640702558
array,393,282,0.7175572519083969,0.7382656753115734
