model_id,model_name,avg_agreement,pass1_agreement,pass2_agreement,pass3_agreement,outlier_rate,intermodel_score
qwen,Qwen3 235B,0.7969230769230768,0.8831908831908832,0.8646153846153848,0.5819397993311036,0.12246153846153848,82.91692307692307
minimax,MiniMax M2,0.7746303663518853,0.8716931216931217,0.7742857142857144,0.49844720496894407,0.12598821244390865,81.43829348335677
gpt-oss,OpenAI GPT-OSS 120B,0.732,0.8597883597883598,0.7800000000000001,0.5559006211180124,0.13314285714285715,78.59428571428572
