field_type,total_count,with_consensus,consensus_rate,avg_agreement
boolean,7,7,1.0,1.0
numeric,11,11,1.0,1.0
enum,16,16,1.0,0.9375
string,14,8,0.5714285714285714,0.7748705051536054
inference,53,42,0.7924528301886793,0.6981132075471698
array,24,18,0.75,0.6596230158730159
