field_name,field_type,pass,avg_agreement,appears_in_jobs
ext_salary_disclosed,boolean,1,1.0,1
ext_equity_mentioned,boolean,1,1.0,1
ext_learning_budget_mentioned,boolean,1,1.0,1
ext_conference_budget_mentioned,boolean,1,1.0,1
ext_hardware_choice_mentioned,boolean,1,1.0,1
ext_llm_genai_mentioned,boolean,1,1.0,1
ext_feature_store_mentioned,boolean,1,1.0,1
ext_salary_period,enum,1,1.0,1
ext_salary_currency,enum,1,1.0,1
ext_visa_sponsorship_stated,enum,1,1.0,1
ext_security_clearance_stated,enum,1,1.0,1
ext_work_model_stated,enum,1,1.0,1
ext_employment_type_stated,enum,1,1.0,1
ext_contract_type,enum,1,1.0,1
ext_extension_possible,enum,1,1.0,1
ext_conversion_to_fte,enum,1,1.0,1
ext_start_date,enum,1,1.0,1
ext_rate_negotiable,enum,1,1.0,1
ext_overtime_paid,enum,1,1.0,1
ext_pto_policy,enum,1,1.0,1
ext_salary_min,numeric,1,1.0,1
ext_salary_max,numeric,1,1.0,1
ext_hourly_rate_min,numeric,1,1.0,1
ext_hourly_rate_max,numeric,1,1.0,1
ext_daily_rate_min,numeric,1,1.0,1
ext_daily_rate_max,numeric,1,1.0,1
ext_years_experience_min,numeric,1,1.0,1
ext_years_experience_max,numeric,1,1.0,1
ext_contract_duration_months,numeric,1,1.0,1
ext_hourly_rate_text_raw,string,1,1.0,1
ext_citizenship_text,string,1,1.0,1
ext_daily_rate_text_raw,string,1,1.0,1
ext_contract_duration_text,string,1,1.0,1
ext_start_date_text,string,1,1.0,1
ext_excluded_countries,array,1,1.0,1
ext_probation_period_text,string,1,1.0,1
ext_nice_to_have_soft_skills,array,1,1.0,1
ext_certifications_mentioned,array,1,1.0,1
seniority_and_role.job_family,inference,2,1.0,1
seniority_and_role.seniority_level,inference,2,1.0,1
stack_and_cloud.primary_cloud,inference,2,1.0,1
geo_and_work_model.remote_restriction,inference,2,1.0,1
red_flags_and_role_quality.role_clarity,inference,3,1.0,1
visa_and_authorization.h1b_friendly,inference,2,1.0,1
visa_and_authorization.opt_cpt_friendly,inference,2,1.0,1
contract_and_compensation.w2_vs_1099,inference,2,1.0,1
career_development.mentorship_signals,inference,2,1.0,1
career_development.internal_mobility_mentioned,inference,2,1.0,1
requirements_classification.scope_definition,inference,2,1.0,1
requirements_classification.skill_inflation_detected,inference,2,1.0,1
summary.red_flags_to_probe,array,3,1.0,1
summary.strengths,array,3,1.0,1
summary.concerns,array,3,1.0,1
summary.best_fit_for,array,3,1.0,1
summary.recommendation_score,numeric,3,1.0,1
summary.negotiation_leverage,array,3,1.0,1
summary.recommendation_confidence,numeric,3,1.0,1
ext_salary_text_raw,string,1,0.9971631205673759,1
