model_id,model_name,avg_agreement,pass1_agreement,pass2_agreement,pass3_agreement,outlier_rate,intermodel_score
qwen,Qwen3 235B,0.76,0.8888888888888888,0.84,0.5652173913043478,0.096,81.76
mistral,Mistral Large 675B,0.736,0.8518518518518519,0.76,0.5869565217391305,0.144,78.4
minimax,MiniMax M2,0.712,0.8518518518518519,0.8,0.5,0.176,75.68
gemma,Google Gemma 3 27B,0.696,0.8148148148148148,0.88,0.45652173913043476,0.176,74.72000000000001
gpt-oss,OpenAI GPT-OSS 120B,0.672,0.8333333333333334,0.76,0.43478260869565216,0.192,72.64
